R,P,S,T,Promise,Cooperator,Defector,Alternator,TitForTat,TwoTitsForTat,Grudger
3,1,0,5,True,0.16576,0.0,0.0,0.26105,0.28659,0.28659
3,2,0,5,True,0.0625,0.0,0.0,0.27184,0.33283,0.33283
3,2,1,5,True,0.09784,0.0,0.0,0.26874,0.31671,0.31671
4,1,0,5,True,0.20898,0.0,0.0,0.25342,0.2688,0.2688
4,2,0,5,True,0.15687,0.0,0.0,0.25759,0.29277,0.29277
4,2,1,5,True,0.19006,0.0,0.0,0.25519,0.27738,0.27738
4,3,0,5,True,0.06039,0.0,0.0,0.27197,0.33382,0.33382
4,3,1,5,True,0.09301,0.0,0.0,0.26652,0.32023,0.32023
4,3,2,5,True,0.13921,0.0,0.0,0.26086,0.29997,0.29997
3,1,0,6,True,0.13993,0.0,0.0,0.26698,0.29655,0.29655
3,2,0,6,True,0.04087,0.0,0.0,0.27429,0.34242,0.34242
3,2,1,6,True,0.06352,0.0,0.0,0.27379,0.33135,0.33135
4,1,0,6,True,0.1937,0.0,0.0,0.25739,0.27446,0.27446
4,2,0,6,True,0.13619,0.0,0.0,0.2619,0.30096,0.30096
4,2,1,6,True,0.16683,0.0,0.0,0.26065,0.28626,0.28626
4,3,0,6,True,0.04052,0.0,0.0,0.2748,0.34234,0.34234
4,3,1,6,True,0.06468,0.0,0.0,0.27118,0.33207,0.33207
4,3,2,6,True,0.09911,0.0,0.0,0.2683,0.3163,0.3163
5,1,0,6,True,0.21905,0.0,0.0,0.25247,0.26424,0.26424
5,2,0,6,True,0.18489,0.0,0.0,0.25433,0.28039,0.28039
5,2,1,6,True,0.20929,0.0,0.0,0.2533,0.26871,0.26871
5,3,0,6,True,0.12972,0.0,0.0,0.2608,0.30474,0.30474
5,3,1,6,True,0.1579,0.0,0.0,0.25724,0.29243,0.29243
5,3,2,6,True,0.19041,0.0,0.0,0.25506,0.27727,0.27727
5,4,0,6,True,0.0399,0.0,0.0,0.27543,0.34234,0.34234
5,4,1,6,True,0.06198,0.0,0.0,0.27153,0.33325,0.33325
5,4,2,6,True,0.09413,0.0,0.0,0.26618,0.31985,0.31985
5,4,3,6,True,0.13972,0.0,0.0,0.26068,0.2998,0.2998
3,1,0,7,True,0.11347,0.0,0.0,0.27274,0.30689,0.30689
3,2,0,7,True,0.02595,0.0,0.0,0.27476,0.34964,0.34964
3,2,1,7,True,0.03858,0.0,0.0,0.27577,0.34283,0.34283
4,1,0,7,True,0.17665,0.0,0.0,0.26176,0.28079,0.28079
4,2,0,7,True,0.11517,0.0,0.0,0.26605,0.30939,0.30939
4,2,1,7,True,0.14142,0.0,0.0,0.26642,0.29608,0.29608
4,3,0,7,True,0.02629,0.0,0.0,0.27592,0.34889,0.34889
4,3,1,7,True,0.04293,0.0,0.0,0.27368,0.3417,0.3417
4,3,2,7,True,0.06492,0.0,0.0,0.27328,0.3309,0.3309
5,1,0,7,True,0.20794,0.0,0.0,0.25551,0.26827,0.26827
5,2,0,7,True,0.1706,0.0,0.0,0.25758,0.28591,0.28591
5,2,1,7,True,0.19416,0.0,0.0,0.25721,0.27432,0.27432
5,3,0,7,True,0.11143,0.0,0.0,0.26439,0.31209,0.31209
5,3,1,7,True,0.1375,0.0,0.0,0.26145,0.30052,0.30052
5,3,2,7,True,0.16739,0.0,0.0,0.26044,0.28609,0.28609
5,4,0,7,True,0.02621,0.0,0.0,0.27697,0.34841,0.34841
5,4,1,7,True,0.04202,0.0,0.0,0.2744,0.34179,0.34179
5,4,2,7,True,0.06589,0.0,0.0,0.2708,0.33165,0.33165
5,4,3,7,True,0.09983,0.0,0.0,0.26804,0.31606,0.31606
6,1,0,7,True,0.22517,0.0,0.0,0.25192,0.26145,0.26145
